x,y,y_true,y_score
14.552868,1.0157304,1,0.9999999839468502
11.166329,-0.43624347,1,0.9997066958349334
8.185255,-2.1942809,1,0.9999993061796308
4.9571543,-5.330148,1,0.9999965753263589
-2.4632034,3.8918183,0,2.6805870039096434e-08
-1.1255585,7.10216,0,4.87499159802588e-10
2.4105263,-2.991105,1,0.9998894548321282
1.1924492,4.3391604,0,0.13303345183729257
10.578629,-0.5022709,1,0.9987882975203004
4.630059,2.070752,1,0.9822946616914575
-9.049207,-6.042923,0,0.0020531616308867083
-0.36420184,1.5329225,0,0.001289704654507289
3.3123338,0.42992574,1,0.7434758153094884
-0.8685401,2.2318623,0,0.00039392097249087046
-7.505359,-0.074806824,0,6.815574801848068e-06
10.676801,11.08573,1,0.9999972225675565
-5.5874443,-5.5701923,1,0.9999999963738446
5.9082003,9.588298,1,0.999997103140725
4.3661995,4.1901894,1,0.9999998299318664
3.2684865,-0.3671949,1,0.9322795434816299
-6.873766,1.4582454,0,3.5705908995645134e-12
-3.7158144,-3.9848783,1,0.9998294820436265
-0.7095915,8.21648,0,9.924166903360439e-10
2.734678,10.692578,1,0.9999888908532916
-2.0222857,-3.7767997,0,0.0059753892859172675
-0.57184345,-0.3636936,0,0.0005480071984303129
-4.0606017,-6.0248785,1,0.9999999105466242
2.4450426,5.630386,1,0.980061370056643
-7.0097647,-8.267022,1,1.0
14.203546,0.30865052,1,0.9999992750480259
-8.627693,6.2133694,0,2.979587446000882e-13
-5.071134,3.0819232,0,6.668053001376651e-09
7.3426147,12.189136,1,0.9999999763696298
-0.28886533,-9.8508215,0,0.010811121449800884
9.06702,9.29504,1,0.999840442836589
6.1294036,1.720964,1,0.9996712188971542
-2.3126342,2.2450686,0,0.00014603263892141736
6.768459,-2.9432895,1,0.998412506672176
3.0341034,2.3863254,1,0.9999999638708921
-1.4688406,-12.672873,1,0.9997338408331157
-0.0079457415,10.875543,0,0.009115296991578072
9.320349,0.31434876,1,0.9989096126834978
7.9399447,-0.074328825,1,0.999895456097574
-2.5165854,2.960957,0,2.4500179104078967e-08
4.8704405,-10.827029,1,0.9999965767750653
-11.610761,-13.003352,0,1.886161829609341e-10
-5.289676,0.24747103,0,0.028590289566588427
-8.572182,7.794262,0,2.306061654020896e-07
-11.083232,-5.0488253,0,1.018607802289009e-06
16.563154,1.7454355,1,0.9999999999997726
-4.108448,3.8202043,0,1.8997714903787458e-15
-7.7431726,2.2010207,0,6.389175712031902e-05
5.618181,-6.1456714,1,0.9999523048306711
-11.610574,-13.003334,0,1.7179470916481034e-10
-3.408151,4.4769607,0,2.7203638067028636e-09
9.88982,-5.896488,1,0.9999999822903335
-3.8300052,-1.4128623,0,0.00011568967400762084
8.915553,-3.2694583,1,0.9999986527709248
12.3533,-1.6202188,1,0.9999987518348066
6.906481,4.993636,1,0.9999928414161381
-3.8134544,3.674959,0,2.8894739977629047e-13
6.433213,7.8575926,1,0.9999997175253669
-4.447772,-1.0688419,0,5.847808697427997e-05
10.006907,10.2259,1,0.999978118797551
4.872843,0.40135232,1,0.8909948153693724
-4.201169,5.0515914,0,1.3439924365035758e-10
-5.5692697,2.987736,0,4.512894312687025e-09
-12.555609,1.4852042,0,6.076841475660061e-07
-5.1849184,4.347096,0,5.5148901722760156e-08
-2.5382495,8.586708,0,1.3570446714917633e-07
-12.687951,1.3083326,0,3.991781972187856e-06
-5.837709,-3.5563185,0,8.213487946393859e-08
1.5213751,0.90813994,0,0.3745931588040742
6.595385,2.2040815,1,0.9971230399164369
12.354898,-1.6206696,1,0.9999987518348066
9.902857,1.8103456,1,0.9999999488312326
-5.3901114,-6.571131,1,0.9999999999988063
3.6522884,7.4267015,1,0.999745345545491
-4.129061,3.1569955,0,4.938568700316605e-07
-7.759375,-3.3678691,0,0.00024349879953388835
-3.0802064,2.5154836,0,8.220315697207836e-05
-4.8774734,4.568628,0,3.1250247920000025e-11
-13.829004,6.6664853,0,5.7595599604163e-06
4.8546352,-7.003931,1,1.0
-7.675429,0.47463754,0,0.00026908308948297597
5.123572,7.2434936,1,0.9998771912072347
-5.8890777,3.584975,0,2.945208981496061e-07
9.417567,-3.4038239,1,0.9999996324788292
-0.6960428,-0.36103103,0,0.1289288829506179
7.607232,-0.025717566,1,0.9996779444833832
6.4697466,-0.80220634,1,0.9998000959412232
-9.170689,6.352748,0,9.737971640332483e-18
-1.4022329,6.6303296,0,2.5546356971110503e-08
-11.910623,3.0952842,0,0.00010639685974609337
1.3660985,8.514923,1,0.9999707440620006
-0.7122468,0.2488932,0,0.2930960796335063
3.7997773,5.5943904,1,0.9999812494991619
2.9006848,-10.164873,1,0.951372993110438
-10.018132,2.2641008,0,1.2199328634792425e-05
13.714543,4.620709,1,0.9999793076459046
-1.3822653,1.9814972,0,0.00031829355901712565
9.791221,4.0630994,1,0.98876123119577
7.152438,1.943157,1,0.9347494648822613
-3.1322956,2.653491,0,2.8272463601162185e-09
5.128116,8.741402,1,0.9997953477524893
-4.61253,5.6712356,0,1.1669136318035542e-08
-1.1176342,1.57304,0,0.000125383478212345
5.65067,-1.6922888,1,0.9133661559159719
-6.1298504,-1.2573175,0,4.5232727194173765e-06
-3.1260095,8.85397,0,0.00011430120675576412
13.733978,4.61482,1,0.9999982275589123
-1.1993939,2.6435773,0,0.00029480817352082567
-1.2717603,3.0758717,0,0.00014144892910244745
0.048410676,2.8028576,0,0.03019024807477939
-2.3395903,3.803922,0,6.046463896154416e-10
0.008429265,3.2333686,0,0.005846259615755161
3.722242,6.1895323,1,0.998968449380324
-13.386815,-12.297612,0,6.319209241648457e-13
4.4378,-1.2286139,1,0.9953903741869734
3.083522,-8.04105,1,0.9922874924581995
-3.5491052,2.949416,0,5.285895009907912e-10
11.047815,11.494482,1,0.9999997144943417
-5.089615,1.6207387,0,1.1477957432127943e-06
-11.612743,-13.00535,0,1.311466921436035e-10
-8.811462,5.2684517,0,2.2663864806948892e-14
-12.23508,-4.289303,0,4.0993773759645297e-05
-3.1651042,-4.825997,1,0.9597623687473475
7.637755,11.051001,1,0.9999990636870897
10.624906,7.083179,1,0.9999999999999858
1.4770681,-3.9924982,0,0.9700867504233776
-0.6264148,2.871455,0,0.007659031617839141
6.737354,1.7283318,1,0.9909725458590022
-8.476821,5.932301,0,3.121257937715629e-10
3.551997,5.0797276,1,0.9999035104513151
-8.990265,4.72434,0,2.169670628318737e-08
2.0903678,2.396756,1,0.8767923920087981
-1.9935226,-9.545668,1,0.9999999999993179
6.1367526,1.0344517,1,0.9975411308755778
-12.698843,1.3228136,0,2.329041140976251e-06
-9.007256,-5.983475,0,0.001371066440634265
-4.012987,0.7412461,0,8.386827173970724e-06
7.0079374,8.069842,1,0.9999997151804628
-1.5453353,8.255866,0,4.029249282918295e-08
0.08489986,6.189903,0,2.1452663855555523e-06
-3.8259194,5.6302857,0,9.953124869359781e-10
-11.094,-5.0539756,0,6.529727206332725e-08
4.7268906,12.497126,1,0.9987247881697074
3.56628,4.525285,1,0.9931538481222913
-7.5403576,-2.4571223,0,5.561167959497318e-05
